FeatureID	Species	Term	Estimate	SE	DF	TStatistic	PValue	QValueWithinTerm	QValueGlobal	CILower	CIUpper
S072	s__Bacteroides_finegoldii	AntibioticsYes	0.937644553168061	0.147989742766229	1426.00355043805	6.33587528190519	3.15728277194424e-10	1.40177699019935e-08	7.00888495099673e-08	0.647584657346251	1.22770444898987
S329	s__Roseburia_inulinivorans	AntibioticsYes	-1.70391029295146	0.271338664009621	1480.23311573523	-6.27964429312236	4.45008568317253e-10	1.40177699019935e-08	7.00888495099673e-08	-2.23573407441032	-1.1720865114926
S289	s__Eubacterium_rectale	AntibioticsYes	-1.45575838112912	0.248445313578264	1461.86596327616	-5.85947209131207	5.72821870658566e-09	1.20292592838299e-07	6.01462964191494e-07	-1.94271119574251	-0.968805566515717
S327	s__Roseburia_hominis	AntibioticsYes	-1.3942419080414	0.264990390366175	1485.98550301129	-5.26148101489559	1.6379134281881e-07	2.34278183286528e-06	1.17139091643264e-05	-1.91362307315911	-0.874860742923699
S384	s__Dialister_invisus	AntibioticsYes	-1.17958941906742	0.225994970640834	1431.8934936806	-5.21953836283417	2.05758531980294e-07	2.34278183286528e-06	1.17139091643264e-05	-1.62253956152345	-0.736639276611383
S416	s__Sutterella_wadsworthensis	AntibioticsYes	1.00443242817561	0.193004264342903	1433.50693707293	5.20419811238511	2.23122079320502e-07	2.34278183286528e-06	1.17139091643264e-05	0.626144070063524	1.3827207862877
S091	s__Bacteroides_thetaiotaomicron	AntibioticsYes	0.834516921262711	0.181402498949288	1428.87316281281	4.60036066810747	4.59096228951424e-06	4.13186606056282e-05	0.000206593303028141	0.478968023322107	1.19006581920331
S329	s__Roseburia_inulinivorans	DiagnosisCD:WeekYearCentered	-2.72574387539311	0.61151914617537	1422.55320748693	-4.45733202703587	8.94977307423585e-06	0.000563835703676858	0.000352397314798036	-3.92432140189683	-1.52716634888938
S071	s__Bacteroides_faecis	AntibioticsYes	0.611309416589231	0.138471815060776	1422.56283373472	4.41468479575375	1.08799349519465e-05	8.56794877465786e-05	0.000380797723318127	0.339904659070111	0.882714174108352
S328	s__Roseburia_intestinalis	AntibioticsYes	-1.41985626714314	0.329605392523157	1473.6451953579	-4.30774586627365	1.75839703936884e-05	0.000123087792755818	0.000553895067401183	-2.06588283648852	-0.773829697797747
S091	s__Bacteroides_thetaiotaomicron	DiagnosisCD:WeekYearCentered	1.7066614093436	0.404723020941124	1413.65428190843	4.21686269630773	2.6345989411756e-05	0.000829898666470315	0.00073302594555887	0.913404288298997	2.4999185303882
S412	s__Burkholderiales_bacterium_1_1_47	AntibioticsYes	0.747036855623708	0.177725434799635	1437.4583295171	4.20331989321566	2.79247979260522e-05	0.000175926226934129	0.00073302594555887	0.398695003416424	1.09537870783099
S095	s__Bacteroidales_bacterium_ph8	DiagnosisCD:WeekYearCentered	-1.5367674802358	0.382227901347962	1415.04849859796	-4.02055285555096	6.1122827400731e-05	0.00128357937541535	0.00148105312547925	-2.2859341668778	-0.787600793593793
S345	s__Faecalibacterium_prausnitzii	DiagnosisCD:WeekYearCentered	-1.50112379677417	0.389407164015804	1419.51673342924	-3.85489517268677	0.000120952880224182	0.00190500786353087	0.00272143980504411	-2.26436183824515	-0.737885755303194
S310	s__Dorea_longicatena	AntibioticsYes	-0.724721221103147	0.19085869062136	1444.4248584982	-3.79716123349554	0.000152427291622132	0.000872992670199481	0.00320097312406476	-1.09880425472101	-0.350638187485281
S348	s__Ruminococcus_bromii	DiagnosisCD:WeekYearCentered	-1.9070833918733	0.526971438552826	1417.27417285188	-3.61895019796623	0.000306203022868701	0.00385815808814563	0.00602837201272755	-2.93994741143684	-0.874219372309761
S065	s__Bacteroides_cellulosilyticus	AntibioticsYes	0.58906745236583	0.164653499121856	1425.26034528388	3.57761879041438	0.00035834651696967	0.00188131921409077	0.00663995016737917	0.266346594086992	0.911788310644667
S348	s__Ruminococcus_bromii	DiagnosisUC:WeekYearCentered	-2.08216576274617	0.584948328037293	1416.57907765516	-3.55957212448587	0.000383734616588405	0.0141604560886162	0.00671535579029709	-3.22866448569926	-0.935667039793073
S096	s__Barnesiella_intestinihominis	AntibioticsYes	0.534122534967566	0.151098900032374	1422.46768311264	3.53492007455467	0.000420973070197973	0.0020401002632671	0.00697929037433482	0.237968690904114	0.830276379031018
S144	s__Alistipes_finegoldii	DiagnosisUC:WeekYearCentered	1.42082264865879	0.403937423947936	1413.53257681403	3.51743256361887	0.000449538288527498	0.0141604560886162	0.0070802280443081	0.629105297720835	2.21253999959675
S348	s__Ruminococcus_bromii	AntibioticsYes	-0.809637982700265	0.235156863930536	1453.64167864065	-3.44296980818484	0.000591699321025684	0.00266264694461558	0.00887548981538525	-1.27054543600411	-0.348730529396415
S129	s__Prevotella_copri	AntibioticsYes	0.709958193271883	0.209808905674732	1430.9898004907	3.38383249742761	0.000734135596568311	0.00308336950558691	0.0105114869508645	0.298732738149408	1.12118364839436
S412	s__Burkholderiales_bacterium_1_1_47	DiagnosisUC:WeekYearCentered	1.48321506706957	0.440758076849566	1414.51581220583	3.36514551853759	0.000785522635524534	0.0164959753460152	0.0107582447908795	0.619329236444416	2.34710089769471
S248	s__Clostridium_bolteae	DiagnosisCD	2.4712579490665	0.733494488730831	105.071872165965	3.36915680626657	0.00105515083676475	0.0664745027161792	0.0138488547325373	1.03360875115407	3.90890714697893
S090	s__Bacteroides_stercoris	DiagnosisUC:WeekYearCentered	1.60706746959087	0.507789909321746	1413.19937496913	3.16482750068315	0.0015848393714182	0.0249612200998366	0.0199689760798693	0.611799247320245	2.60233569186149
S306	s__Coprococcus_comes	DiagnosisCD:WeekYearCentered	-1.31961485878227	0.420688304058174	1416.48705962313	-3.13679949276601	0.00174318840522086	0.0176210974294224	0.0211193979863296	-2.14416393473629	-0.495065782828253
S299	s__Ruminococcus_gnavus	DiagnosisCD:WeekYearCentered	1.75620211356687	0.566089395973978	1416.83900261554	3.10234059506671	0.00195789971438027	0.0176210974294224	0.0228421633344365	0.646666897457868	2.86573732967586
S149	s__Alistipes_shahii	AntibioticsYes	0.555007043699955	0.183262055714904	1433.61479308177	3.02848858447471	0.00250170982087389	0.00985048241969093	0.0281442354848312	0.195813414498744	0.914200672901166
S505	s__Akkermansia_muciniphila	DiagnosisUC	-2.46496368762042	0.824768872142051	106.5765362918	-2.98867206423362	0.00347871797833127	0.123955124868487	0.0377860745922189	-4.08151067701884	-0.848416698221996
S091	s__Bacteroides_thetaiotaomicron	DiagnosisUC:WeekYearCentered	1.29468686397414	0.449215189983277	1413.37176125288	2.88210838111315	0.00400994380007528	0.0505252918809485	0.0421044099007904	0.414225091606915	2.17514863634136
S412	s__Burkholderiales_bacterium_1_1_47	DiagnosisCD:WeekYearCentered	1.14028675064557	0.397093262130141	1414.93728837969	2.87158423320682	0.0041450443320535	0.0326422241149213	0.042118998857963	0.361983956870498	1.91858954442065
S300	s__Ruminococcus_obeum	AntibioticsYes	-0.491164841195673	0.172026496783185	1475.30926989958	-2.85516969990219	0.00436156412903643	0.0161634435370174	0.0429341468952024	-0.828336774890716	-0.15399290750063
S252	s__Clostridium_clostridioforme	DiagnosisCD	2.18642041372324	0.757584058239921	105.393088333447	2.88604332409383	0.00473285903812823	0.136160888368209	0.0451772908184968	0.701555659572991	3.67128516787348
S327	s__Roseburia_hominis	DiagnosisUC:WeekYearCentered	-1.84751706049195	0.664021770330293	1422.00680302301	-2.78231398885155	0.00546861645474548	0.0559612960463299	0.0493540927615375	-3.14899973033932	-0.546034390644572
S286	s__Eubacterium_hallii	AntibioticsYes	-0.627888983879983	0.225930769508236	1477.83020335094	-2.77912116727905	0.00551964405393698	0.0193187541887794	0.0493540927615375	-1.07071329211613	-0.185064675643839
S072	s__Bacteroides_finegoldii	DiagnosisCD:WeekYearCentered	0.914926111670605	0.330032624377971	1413.02931226979	2.77222930125473	0.00564046774417571	0.03948327420923	0.0493540927615375	0.268062167889783	1.56179005545143
S105	s__Parabacteroides_distasonis	DiagnosisUC:WeekYearCentered	-1.44982420784424	0.529099811475111	1414.63438098475	-2.74017146935317	0.00621792178292554	0.0559612960463299	0.0529363611249066	-2.48685983833546	-0.412788577353022
S111	s__Parabacteroides_unclassified	AntibioticsYes	0.838748684325852	0.307422715306131	1457.06220967885	2.72832371378487	0.00644220508482063	0.0213609958075632	0.0534024895189079	0.236200162325835	1.44129720632587
S149	s__Alistipes_shahii	DiagnosisUC	-2.39685548834386	0.874955540383208	104.693838796623	-2.73940260701029	0.00723675720191666	0.123955124868487	0.0584507312462499	-4.11176834749495	-0.68194262919277
S039	s__Bifidobacterium_longum	AntibioticsYes	0.592079035669357	0.221245440873679	1447.49110164676	2.67611858274362	0.00753207093012279	0.0237260234298868	0.0590262499373747	0.158437971556946	1.02572009978177
S267	s__Clostridium_symbiosum	DiagnosisUC	2.10191893778393	0.775111218913534	105.193880762853	2.7117643074889	0.00781885049146772	0.123955124868487	0.0590262499373747	0.582700948713408	3.62113692685446
S147	s__Alistipes_putredinis	DiagnosisUC	-2.93349814660592	1.08257430869631	104.594464552043	-2.70974299227419	0.00787016665831663	0.123955124868487	0.0590262499373747	-5.05534379165069	-0.81165250156114
S149	s__Alistipes_shahii	DiagnosisCD	-2.1166603548654	0.787435689409105	104.547895236258	-2.68804218977393	0.00836473107602419	0.136160888368209	0.0599209877521819	-3.66003430610724	-0.573286403623551
S505	s__Akkermansia_muciniphila	DiagnosisUC:WeekYearCentered	-1.95255890547229	0.739474396245485	1419.86789733488	-2.64046857522852	0.00836991574951113	0.0659130865274001	0.0599209877521819	-3.40192872211344	-0.503189088831137
S384	s__Dialister_invisus	DiagnosisCD:WeekYearCentered	1.32116875616457	0.504465019946671	1414.10401533977	2.61895018271879	0.00891437439162781	0.050266335328375	0.0624006207413947	0.332417317069094	2.30992019526005
S108	s__Parabacteroides_merdae	DiagnosisCD:WeekYearCentered	1.06948645492068	0.418185106886171	1413.22836121331	2.55744749707642	0.0106479739973029	0.050266335328375	0.0703945092568223	0.249843645423779	1.88912926441757
S416	s__Sutterella_wadsworthensis	DiagnosisUC	-2.40451249133053	0.925356477395477	104.781721732481	-2.59847156211443	0.0107122704104481	0.134974607171646	0.0703945092568223	-4.21821118702566	-0.590813795635396
S094	s__Bacteroides_xylanisolvens	DiagnosisCD:WeekYearCentered	-1.19762592158578	0.46876331723225	1416.0895824271	-2.55486271548934	0.0107267823629443	0.050266335328375	0.0703945092568223	-2.11640202336099	-0.278849819810568
S310	s__Dorea_longicatena	DiagnosisCD:WeekYearCentered	-1.06819790622127	0.426963139812347	1415.96116503405	-2.50185040959449	0.0124666976625885	0.050266335328375	0.079588364269927	-1.90504566025347	-0.231350152189069
S329	s__Roseburia_inulinivorans	DiagnosisCD	-1.58557787142473	0.626296686608742	106.532508707033	-2.53167213770567	0.0128114702786139	0.136160888368209	0.079588364269927	-2.81311937717786	-0.358036365671598
S111	s__Parabacteroides_unclassified	DiagnosisUC:WeekYearCentered	1.90118651376257	0.765182916004979	1417.48175968651	2.48461704253496	0.013083781036697	0.0915864672568789	0.079588364269927	0.401427998392808	3.40094502913232
S281	s__Flavonifractor_plautii	DiagnosisCD:WeekYearCentered	1.22491195107686	0.496083427458661	1418.1627939755	2.46916523164631	0.013659967662277	0.050266335328375	0.079588364269927	0.252588433257885	2.19723546889584
S095	s__Bacteroidales_bacterium_ph8	DiagnosisUC	-1.86234925189896	0.74694095494345	105.015594529994	-2.49330183272647	0.0142172921947889	0.149281568045283	0.079588364269927	-3.32635352358812	-0.398344980209799
S065	s__Bacteroides_cellulosilyticus	DiagnosisCD:WeekYearCentered	-0.899662851022876	0.367134573461093	1413.18074722967	-2.45049885261819	0.014386358787588	0.050266335328375	0.079588364269927	-1.61924661500662	-0.180079087039134
S299	s__Ruminococcus_gnavus	DiagnosisCD	2.03650955597739	0.818535959157653	105.145105746168	2.48799033590796	0.0144171112162003	0.136160888368209	0.079588364269927	0.432179076028393	3.64084003592639
S147	s__Alistipes_putredinis	DiagnosisCD:WeekYearCentered	-1.26959756673164	0.518772539417062	1414.27281131504	-2.44731066173679	0.0145136105432516	0.050266335328375	0.079588364269927	-2.28639174398909	-0.252803389474201
S327	s__Roseburia_hominis	DiagnosisCD:WeekYearCentered	-1.46294369917862	0.598133786686389	1423.30396077534	-2.44584695220647	0.014571637561256	0.050266335328375	0.079588364269927	-2.63528592108394	-0.290601477273295
S090	s__Bacteroides_stercoris	DiagnosisCD:WeekYearCentered	1.11704807686145	0.457498347528465	1413.45694606802	2.44164395980021	0.0147424819142424	0.050266335328375	0.079588364269927	0.220351315705664	2.01374483801724
S095	s__Bacteroidales_bacterium_ph8	DiagnosisUC:WeekYearCentered	-1.03231215110654	0.424258713153873	1414.61955823618	-2.43321378937038	0.0150886498356287	0.0950584939644605	0.079588364269927	-1.86385922888813	-0.200765073324945
S355	s__Subdoligranulum_unclassified	DiagnosisCD:WeekYearCentered	-0.786970813011401	0.323657550760748	1420.94529516421	-2.43149220885361	0.0151596884323671	0.050266335328375	0.079588364269927	-1.42133961250247	-0.152602013520336
S111	s__Parabacteroides_unclassified	DiagnosisCD	2.21516016219516	0.904088998938372	105.579065979983	2.45015719115741	0.0159231229981807	0.136160888368209	0.0822259630233923	0.443145724275949	3.98717460011437
