item	value	interpretation
seed	20260724	Fixed before model fitting
primary_groups	Control_vs_CRC	Adenoma excluded from the binary primary contrast
primary_complete_cases	110	59 Control and 51 CRC independent subjects
primary_covariates	z_age+gender+z_BMI+z_log10_reads	Read depth is included because detection affects prevalence
species_min_abundance	0.0001	Feature must exceed 0.01 percent relative abundance
species_min_prevalence	0.10	Threshold applied in the 110-sample primary set
pathway_denominator	ordinary_unstratified_pathways_closed_to_one	Conditional composition, not total functional explanation
pathway_min_abundance	0.00001	Feature must exceed 0.001 percent of the ordinary-pathway denominator
pathway_min_prevalence	0.20	Threshold applied in the 110-sample primary set
maaslin3_abundance_null	per-metadatum coefficient median	Compositionality-aware primary abundance test
maaslin3_prevalence_null	zero log-odds coefficient	Presence model is not median centered
ancombc2_input	round(species_relative_fraction*whole_metagenome_number_reads)	Sensitivity input; not observed taxon reads
aldex2_input	same_reconstructed_species_pseudocount	Sensitivity input; not observed taxon reads
aldex2_mc_samples	128	Deterministic Monte Carlo design with fixed seed
fdr_method	BH_within_method_feature_space_component	No shared FDR family across taxa, pathways, or model components
