FeatureID	Block	Component	SelectedBootstraps	Bootstraps	SelectionFrequency	DisplayName	Modality	Phylum	HMDB	ChemicalClass
MT023	metabolome	1	100	100	1	adrenic acid	Metabolome		HMDB0002226	Very long-chain fatty acids
MT149	metabolome	1	100	100	1	5alpha-cholestanol	Metabolome		HMDB0000908	
MT151	metabolome	1	100	100	1	C16 carnitine	Metabolome		HMDB0000222	Acyl carnitines
MT152	metabolome	1	100	100	1	C18:2 carnitine	Metabolome		HMDB0006469	Acyl carnitines
MT037	metabolome	1	99	100	0.99	N-oleoylethanolamine	Metabolome		HMDB0002088	Organonitrogen compounds
MT150	metabolome	1	97	100	0.97	C14 carnitine	Metabolome		HMDB0005066	Acyl carnitines
MT067	metabolome	1	94	100	0.94	hydrocinnamic acid	Metabolome		HMDB0000764	
MT006	metabolome	1	92	100	0.92	dodecanedioic acid	Metabolome		HMDB0000623	Medium-chain fatty acids
MT003	metabolome	1	91	100	0.91	undecanedionate	Metabolome		HMDB0000888	Medium-chain fatty acids
MT007	metabolome	1	89	100	0.89	2-hydroxymyristic acid	Metabolome		HMDB0002261	Long-chain fatty acids
MT078	metabolome	1	80	100	0.8	suberate	Metabolome		HMDB0000893	
MT057	metabolome	1	74	100	0.74	erythronic acid	Metabolome		HMDB0000613	
MT017	metabolome	1	71	100	0.71	hexadecanedioic acid	Metabolome		HMDB0000672	Long-chain fatty acids
MT050	metabolome	1	70	100	0.7	caproic acid	Metabolome		HMDB0000535	Medium-chain fatty acids
MT148	metabolome	1	63	100	0.63	phytosphingosine	Metabolome		HMDB0004610	Organonitrogen compounds
MT089	metabolome	1	57	100	0.57	cystine	Metabolome		HMDB0250712	L-cysteine-S-conjugates
MT136	metabolome	1	55	100	0.55	ADMA	Metabolome		HMDB0001539	Arginine and derivatives
MT123	metabolome	1	54	100	0.54	4-hydroxy-3-methylacetophenone	Metabolome		HMDB0059824	Alkyl-phenylketones
MT097	metabolome	1	47	100	0.47	glycocholate	Metabolome		HMDB0000138	
MT022	metabolome	1	40	100	0.4	carnosol	Metabolome		HMDB0002121	Diterpene lactones
MT012	metabolome	1	38	100	0.38	2-hydroxyhexadecanoate	Metabolome		HMDB0031057	
MT061	metabolome	1	34	100	0.34	caprylic acid	Metabolome		HMDB0000482	Medium-chain fatty acids
MT114	metabolome	1	33	100	0.33	2-hydroxyphenethylamine	Metabolome		HMDB0001065	Organonitrogen compounds
MT035	metabolome	1	32	100	0.32	stearoyl ethanolamide	Metabolome		HMDB0013078	Organonitrogen compounds
MT021	metabolome	1	25	100	0.25	docosahexaenoic acid	Metabolome		HMDB0002183	
MT026	metabolome	1	25	100	0.25	deoxycholic acid	Metabolome		HMDB0000626	Bile acids, alcohols and derivatives
MT068	metabolome	1	24	100	0.24	guanine	Metabolome		HMDB0000132	Imidazopyrimidines
MT109	metabolome	1	19	100	0.19	creatine	Metabolome		HMDB0000064	Alpha amino acids and derivatives
MT124	metabolome	1	16	100	0.16	carnitine	Metabolome		HMDB0000062	Quaternary ammonium salts
MT038	metabolome	1	14	100	0.14	cholesterol	Metabolome		HMDB0000067	
MT128	metabolome	1	14	100	0.14	3-methylxanthine	Metabolome		HMDB0001886	Imidazopyrimidines
MT027	metabolome	1	13	100	0.13	alpha-muricholate	Metabolome		HMDB0000506	
MT056	metabolome	1	13	100	0.13	adenine	Metabolome		HMDB0000034	Purines and purine derivatives
MT088	metabolome	1	11	100	0.11	1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	Metabolome		HMDB0037942	Harmala alkaloids
MT102	metabolome	1	11	100	0.11	histamine	Metabolome		HMDB0000870	
MT138	metabolome	1	10	100	0.1	N-acetyl-L-arginine	Metabolome		HMDB0004620	N-acyl-L-alpha-amino acids
MT098	metabolome	1	9	100	0.09	putrescine	Metabolome		HMDB0001414	Amines
MT103	metabolome	1	9	100	0.09	creatinine	Metabolome		HMDB0000562	Amino acids, peptides, and analogues
MT030	metabolome	1	8	100	0.08	glycoursodeoxycholic acid	Metabolome		HMDB0000708	
MT063	metabolome	1	8	100	0.08	2-methylglutaric acid	Metabolome		HMDB0000422	Methyl-branched fatty acids
MT090	metabolome	1	8	100	0.08	pentadecanoate	Metabolome		HMDB0000826	Long-chain fatty acids
MT145	metabolome	1	8	100	0.08	8-hydroxy-deoxyguanosine	Metabolome		HMDB0003333	Purine nucleosides
