Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1785511807.394	   554.815	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_008.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_008 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
9	:	1785511807.397	   598.194	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_009.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_009 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
13	:	1785511807.410	   649.092	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_013.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_013 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
15	:	1785511807.416	   698.446	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_015.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_015 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
10	:	1785511807.401	   845.616	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_010.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_010 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
11	:	1785511807.404	   873.381	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_011.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_011 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
3	:	1785511807.379	   904.154	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_003.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_003 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
18	:	1785511807.425	   930.355	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_019.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_019 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
19	:	1785511807.429	   932.048	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_020.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_020 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
24	:	1785511807.445	   934.493	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/TRUNC_050.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/TRUNC_050 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
4	:	1785511807.382	   963.811	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_004.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_004 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
12	:	1785511807.407	   981.302	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_012.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_012 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
5	:	1785511807.385	  1002.291	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_005.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_005 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
23	:	1785511807.442	  1017.559	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_024.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_024 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
22	:	1785511807.438	  1030.207	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_023.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_023 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
17	:	1785511807.422	  1037.746	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_017.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_017 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
14	:	1785511807.413	  1067.888	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_014.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_014 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
2	:	1785511807.376	  1129.720	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_002.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_002 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
16	:	1785511807.419	  1135.512	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_016.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_016 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
1	:	1785511807.374	  1169.417	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_001.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_001 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
25	:	1785512362.214	   948.868	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/TRUNC_070.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/TRUNC_070 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
6	:	1785511807.388	  1563.927	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_006.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_006 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
21	:	1785511807.435	  1693.478	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_022.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_022 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
26	:	1785512405.596	  1102.529	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/TRUNC_090.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/TRUNC_090 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
27	:	1785512456.509	  1120.794	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/TRUNC_100.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/TRUNC_100 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
20	:	1785511807.432	  2322.401	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_021.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_021 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
7	:	1785511807.391	  2510.743	0	0	0	0	/workspace/miniconda3/envs/metagenome-dram-2026.07/bin/DRAM.py annotate -i /workspace/wechat/Metagenome/work/article59/inputs/dram-mags/SGB_007.fna -o /workspace/wechat/Metagenome/work/article59/dram-shards/SGB_007 --min_contig_size 1500 --prodigal_mode meta --low_mem_mode --skip_trnascan --threads 3 --config_loc /workspace/wechat/Metagenome/work/article59/dram-config.json
