taxon	Compound	CompoundName	CommunityScaledFlux
Prevotella_copri	12ppd_S	12ppd S	-0.007659362607797363
Prevotella_copri	3oh_mdea	3oh mdea	-0.07908845400169258
Prevotella_copri	4oh_dcf	4oh dcf	-0.0001913620788010195
Prevotella_copri	4oh_dcf_glc	4oh dcf glc	-0.000998291288627373
Prevotella_copri	814dioh_efv_glc	814dioh efv glc	0.005822760573273789
Prevotella_copri	S_6oh_warf	S 6oh warf	-23.269890222622312
Acidaminococcus_intestini	ac	Acetate	-6.812026432277802e-06
Eubacterium_rectale	ac	Acetate	-1.592417997783352e-07
Prevotella_copri	acmpglu	acmpglu	-856.4445087832943
Bacteroides_vulgatus	alaasp	alaasp	4.2662521592220115e-06
Prevotella_copri	alpz_4oh_glc	alpz 4oh glc	-0.0011479772810790768
Prevotella_copri	am5_glc	am5 glc	-5.501211890606348
Acidaminococcus_intestini	anzp	anzp	-53.64043228693705
Prevotella_copri	anzp	anzp	2319.6303005415525
Eubacterium_rectale	arbt	arbt	-9.256000234762048e-05
Eubacterium_rectale	arsenb	arsenb	-9.711572195448182e-06
Acidaminococcus_intestini	asp_L	asp L	-0.4320356748000004
Eubacterium_rectale	asp_L	asp L	2.9839165999531904e-06
Prevotella_copri	bilr_M10	bilr M10	0.0008899219514387639
Prevotella_copri	bilr_M16	bilr M16	-0.0006767508171355051
Prevotella_copri	cbl2	cbl2	0.001501526726821943
Prevotella_copri	cbz_glc	cbz glc	0.0005036011660949423
Bacteroides_vulgatus	cgly	cgly	9.07162093378383e-07
Phascolarctobacterium_succinatutens	chlphncl	chlphncl	3.009360585525898
Prevotella_copri	chlphncl	chlphncl	-8.147254131252232e-05
Prevotella_copri	cu2	cu2	-8.895174444950303e-05
Eubacterium_rectale	cys_L	cys L	-0.00016224314938243528
Acidaminococcus_intestini	dfdcytd	dfdcytd	-0.001642423859450228
Alistipes_putredinis	dgchol	dgchol	2.8949085090302487e-05
Prevotella_copri	digoxin_glc	digoxin glc	856.4445087832943
Prevotella_copri	doh_etr	doh etr	3.592743580045559e-06
Prevotella_copri	doh_etr_glc	doh etr glc	-1268.3878609969756
Phascolarctobacterium_succinatutens	drib	drib	1.082119497931492e-05
Prevotella_copri	estradiolglc	estradiolglc	1855.5419549229157
Prevotella_copri	estriolglc	estriolglc	-5.5736173928471775
Bacteroides_vulgatus	fe3	fe3	6.067970110408176e-05
Phascolarctobacterium_succinatutens	fe3	fe3	-0.00363276168254032
Eubacterium_rectale	fru	D-fructose	1.145427516322047e-07
Eubacterium_rectale	fum	fum	3.9119087451197404e-06
Prevotella_copri	gly	gly	94.65985337653717
Bacteroides_vulgatus	glyasn	glyasn	0.00017345307189505117
Bacteroides_vulgatus	glygn2	glygn2	-10.469924547007631
Bacteroides_vulgatus	glyleu	glyleu	-1.7805488990708869e-06
Bacteroides_vulgatus	glyphe	glyphe	3.9746236781089186
Eubacterium_rectale	glyphe	glyphe	254.85380197060636
Acidaminococcus_intestini	h2	Hydrogen	0.03400171096487501
Bacteroides_vulgatus	h2o	h2o	0.00024076963394337755
Eubacterium_rectale	his_L	his L	5.175721331436692e-06
Prevotella_copri	hst	hst	-0.0015432700105709343
Prevotella_copri	hst_3_glc	hst 3 glc	1031.6292297101934
Prevotella_copri	inv_m1	inv m1	-0.18179723523831787
Prevotella_copri	kprofen	kprofen	0.45516804011538464
Eubacterium_rectale	lcts	lcts	-0.0004340142971316073
Prevotella_copri	lys_L	lys L	-2829.434325933697
Phascolarctobacterium_succinatutens	malthx	malthx	2.346576852008078e-05
Eubacterium_rectale	man	man	-2.0104758761880725e-06
Bacteroides_vulgatus	mantr	mantr	-2.844325198660603e-06
Prevotella_copri	mdz_glc	mdz glc	0.00018309210482601228
Bacteroides_vulgatus	melib	melib	3.1747615446250453e-07
Alistipes_putredinis	met_L	met L	-1.5050134052075187e-05
Prevotella_copri	met_L	met L	0.0010881845453188975
Eubacterium_rectale	mnl	mnl	-5.116291533808232e-06
Alistipes_putredinis	nchlphncl	nchlphncl	4.4697525370674595e-06
Acidaminococcus_intestini	nmn	nmn	0.515373640530075
Acidaminococcus_intestini	no3	no3	-305.23343773937495
Alistipes_putredinis	ocdca	ocdca	-1.5508283709783715e-05
Prevotella_copri	odsm_egltmn_glc	odsm egltmn glc	-4.919110715761218
Alistipes_putredinis	phe_L	phe L	2.132839113358628e-06
Eubacterium_rectale	pheme	pheme	0.4050693423986071
Prevotella_copri	phppa	phppa	0.07135199609699479
Alistipes_putredinis	pnto_R	pnto R	1.880147455965848e-05
Phascolarctobacterium_succinatutens	ppa	Propionate	0.19529392750322927
Prevotella_copri	prob_glc	prob glc	-0.002361260898955809
Phascolarctobacterium_succinatutens	ptrc	ptrc	0.0022452515602369217
Prevotella_copri	rpn_96990	rpn 96990	12.915586798864993
Prevotella_copri	rpn_oh	rpn oh	1.5662362290622077e-05
Prevotella_copri	sch_488128	sch 488128	0.001155153865420742
Prevotella_copri	sftz_glc	sftz glc	-0.00038197436325294073
Bacteroides_vulgatus	sucr	sucr	1.4597203697655785e-05
Acidaminococcus_intestini	sulfac	sulfac	240.01019886684423
Prevotella_copri	tat	tat	0.0007758506308824994
Prevotella_copri	thr_L	thr L	-0.0001913620788010195
Prevotella_copri	tlf_a_1a	tlf a 1a	0.00012160742834341005
Eubacterium_rectale	tre	tre	1.6545204067533418e-05
Acidaminococcus_intestini	tyr_L	tyr L	4.086470917464859e-05
Bacteroides_vulgatus	xan	xan	-2.309628167044107e-05
Eubacterium_rectale	xyl_D	xyl D	-1.594359327237445e-06
