Step	Status	ElapsedSeconds	CumulativeMaxRSSKB	Detail
MICOM build: observed abundances	passed	16.740049	243972	
MICOM cooperative-tradeoff grid	passed	0.034354	245700	
MICOM primary pFBA	passed	0.27373	257796	
MICOM medium sensitivity: 0.5x	passed	469.681818	257796	
MICOM medium sensitivity: 1x	passed	452.955741	257796	
MICOM medium sensitivity: 2x	passed	491.638205	257796	
MICOM build: equal-abundance sensitivity	passed	235.213288	257796	
MICOM equal-abundance tradeoff	passed	441.840974	257796	
SMETANA global MIP/MRO	not_estimable	25.5786	486060	MIP: SMETANA 1.2.1 legacy non-interacting merge has zero complete-medium growth for all 6 exported AGORA2 SBML members; MRO: member minimal-medium solve failed for Bacteroides_vulgatus.
SMETANA detailed SCS/MUS/MPS	passed_with_limitation	2082.409021	486060	7,853 rows returned; SCS and composite SMETANA were zero for all rows, while MUS/MPS component outputs were non-zero. Do not interpret zero composite scores as evidence that exchange is absent.
