sample_id	SubjectID	tradeoff	ModeledTaxa	PositiveTaxa	FractionGrowing	ModeledAbundance	PositiveAbundance	CommunityGrowth	MedianTaxonGrowth	AbundanceWeightedFractionGrowing
MV_FEM1_t1Q14	MV_FEM1	0.1	26	26	1.0	0.9999999999999988	0.9999999999999988	0.04976113298623359	0.0005233567512024501	1.0
MV_FEM1_t1Q14	MV_FEM1	0.2	26	26	1.0	0.9999999999999988	0.9999999999999988	0.001556354730938127	8.793725512435282e-06	1.0
MV_FEM1_t1Q14	MV_FEM1	0.3	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.08858924208512113	0.003818388700249	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	0.4	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.0879185902565795	0.0009596497087890499	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	0.5	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.0897448429952312	0.0083018095078151	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	0.6	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.08833259425399866	0.0023913338188363	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	0.7	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.09042330649899039	0.01152690952759335	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	0.8	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.09073311923674257	0.01248248439065635	0.9636723831745968
MV_FEM1_t1Q14	MV_FEM1	0.9	26	25	0.9615384615384616	0.9999999999999988	0.9636723831745956	0.08891679837587495	0.0045033904246392	0.9636723831745968
MV_FEM2_t1Q14	MV_FEM2	0.1	42	42	1.0	0.9999999999999983	0.9999999999999983	0.052563476723144154	0.0049813332495178	1.0
MV_FEM2_t1Q14	MV_FEM2	0.2	42	40	0.9523809523809523	0.9999999999999983	0.9856824150385566	0.01862610058465243	0.0002825405591349	0.9856824150385582
MV_FEM2_t1Q14	MV_FEM2	0.3	42	42	1.0	0.9999999999999983	0.9999999999999983	0.15769926655649003	0.01483924694482405	1.0
MV_FEM2_t1Q14	MV_FEM2	0.4	42	40	0.9523809523809523	0.9999999999999983	0.9856824150385566	0.0285247945852616	0.0012420592852115	0.9856824150385582
MV_FEM2_t1Q14	MV_FEM2	0.5	42	42	1.0	0.9999999999999983	0.9999999999999983	0.26573384364882363	0.02390541791786415	1.0
