community	medium	receiver	donor	compound	scs	mus	mps	smetana	Compound	CompoundName	PositiveSMETANA
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_12ppd_S_e	0.0	0.0	0	0.0	12ppd_S	12ppd S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1hibup_S_e	0.0	0.0	0	0.0	1hibup_S	1hibup S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1hibupglu_S_e	0.0	0.0	0	0.0	1hibupglu_S	1hibupglu S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1hmdgluc_e	0.0	0.0	0	0.0	1hmdgluc	1hmdgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1ohmdz_e	0.0	0.0	0	0.0	1ohmdz	1ohmdz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_26dap_M_e	0.0	0.0	0	0.0	26dap_M	26dap M	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvacid_e	0.0	0.0	0	0.0	2hatvacid	2hatvacid	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvacidgluc_e	0.0	0.0	0	0.0	2hatvacidgluc	2hatvacidgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvlac_e	0.0	0.0	0	0.0	2hatvlac	2hatvlac	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvlacgluc_e	0.0	0.0	0	0.0	2hatvlacgluc	2hatvlacgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hibup_S_e	0.0	0.0	0	0.0	2hibup_S	2hibup S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hibupglu_S_e	0.0	0.0	0	0.0	2hibupglu_S	2hibupglu S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_cbz_e	0.0	0.0	0	0.0	2oh_cbz	2oh cbz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_cbz_glc_e	0.0	0.0	0	0.0	2oh_cbz_glc	2oh cbz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_mtz_e	0.0	0.0	0	0.0	2oh_mtz	2oh mtz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_mtz_glc_e	0.0	0.0	0	0.0	2oh_mtz_glc	2oh mtz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3hibup_S_e	0.0	0.0	0	0.0	3hibup_S	3hibup S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3hibupglu_S_e	0.0	0.0	0	0.0	3hibupglu_S	3hibupglu S	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3meacmp_e	0.0	0.0	0	0.0	3meacmp	3meacmp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_cbz_e	0.0	0.0	0	0.0	3oh_cbz	3oh cbz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_cbz_glc_e	0.0	0.0	0	0.0	3oh_cbz_glc	3oh cbz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_dlor_e	0.0	0.0	0	0.0	3oh_dlor	3oh dlor	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_dlor_glc_e	0.0	0.0	0	0.0	3oh_dlor_glc	3oh dlor glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mdea_e	0.0	0.0	0	0.0	3oh_mdea	3oh mdea	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mdea_glc_e	0.0	0.0	0	0.0	3oh_mdea_glc	3oh mdea glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mxn_e	0.0	0.0	0	0.0	3oh_mxn	3oh mxn	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mxn_glc_e	0.0	0.0	0	0.0	3oh_mxn_glc	3oh mxn glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4abz_e	0.0	0.0	0	0.0	4abz	4abz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4dh_tpno_1glc_e	0.0	0.0	0	0.0	4dh_tpno_1glc	4dh tpno 1glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4dh_tpno_e	0.0	0.0	0	0.0	4dh_tpno	4dh tpno	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4hmdgluc_e	0.0	0.0	0	0.0	4hmdgluc	4hmdgluc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_dcf_e	0.0	0.0	0	0.0	4oh_dcf	4oh dcf	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_dcf_glc_e	0.0	0.0	0	0.0	4oh_dcf_glc	4oh dcf glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_kp_e	0.0	0.0	0	0.0	4oh_kp	4oh kp	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_kp_glc_e	0.0	0.0	0	0.0	4oh_kp_glc	4oh kp glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_levole_e	0.0	0.0	0	0.0	4oh_levole	4oh levole	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_levole_glc_e	0.0	0.0	0	0.0	4oh_levole_glc	4oh levole glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_meth_e	0.0	0.0	0	0.0	4oh_meth	4oh meth	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_meth_glc_e	0.0	0.0	0	0.0	4oh_meth_glc	4oh meth glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_propl_e	0.0	0.0	0	0.0	4oh_propl	4oh propl	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_propl_glc_e	0.0	0.0	0	0.0	4oh_propl_glc	4oh propl glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_trz_e	0.0	0.0	0	0.0	4oh_trz	4oh trz	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_trz_glc_e	0.0	0.0	0	0.0	4oh_trz_glc	4oh trz glc	False
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4oh_vcz_e	0.0	0.0	0	0.0	4oh_vcz	4oh vcz	False
