Branch	Sequence	Gene	Accession	VirulenceFactor	VFCCategory	ReferenceCoveragePercent	IdentityPercent	AlignedBp
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tse2	NP_251392	HSI-1 T6SS secreted effectors	Effector delivery system	100.00	97.69	477
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	lasR	NP_250121	Quorum sensing	Biofilm	100.00	91.94	720
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	lasI	NP_250123	Quorum sensing	Biofilm	100.00	93.23	606
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliK	NP_250132	Flagella	Motility	100.00	91.30	1287
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliL	NP_250133	Flagella	Motility	100.00	96.55	522
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliM	NP_250134	Flagella	Motility	100.00	96.71	972
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliN	NP_250135	Flagella	Motility	100.00	95.15	474
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliP	NP_250137	Flagella	Motility	100.00	95.44	768
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliQ	NP_250138	Flagella	Motility	100.00	94.44	270
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliR	NP_250139	Flagella	Motility	99.36	95.08	772
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	flhB	NP_250140	Flagella	Motility	100.00	94.99	1137
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	flhA	NP_250143	Flagella	Motility	100.00	96.19	2124
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	flhF	NP_250144	Flagella	Motility	100.00	94.19	1290
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fleN	NP_250145	Flagella	Motility	100.00	96.20	843
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fliA	NP_250146	Flagella	Motility	100.00	97.04	744
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	cheY	NP_250147	Flagella	Motility	100.00	97.60	375
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	cheZ	NP_250148	Flagella	Motility	100.00	94.30	789
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	PA1458	NP_250149	Flagella	Motility	99.07	90.48	2247
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	PA1459	NP_250150	Flagella	Motility	99.64	91.54	1107
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	motC	NP_250151	Flagella	Motility	100.00	94.60	741
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	motD	NP_250152	Flagella	Motility	100.00	93.27	891
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	PA1464	NP_250155	Flagella	Motility	100.00	96.88	480
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tssC	NP_250349	HSI-2	Effector delivery system	100.00	91.80	1476
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tssG	NP_250352	HSI-2	Effector delivery system	100.00	93.25	1008
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tssH	NP_250353	HSI-2	Effector delivery system	100.00	94.46	2634
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	PA1663	NP_250354	HSI-2	Effector delivery system	100.00	90.48	1512
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	PA1664	NP_250355	HSI-2	Effector delivery system	100.00	99.29	141
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	PA1665	NP_250356	HSI-2	Effector delivery system	100.00	97.74	1194
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tssJ	NP_250357	HSI-2	Effector delivery system	100.00	98.62	507
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tssK	NP_250358	HSI-2	Effector delivery system	100.00	98.57	1332
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	icmH/tssL	NP_250359	HSI-2	Effector delivery system	100.00	98.62	870
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tssM	NP_250360	HSI-2	Effector delivery system	100.00	98.36	3528
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	stp1	NP_250361	HSI-2	Effector delivery system	100.00	97.67	729
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	stk1	NP_250362	HSI-2	Effector delivery system	100.00	97.27	990
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	fimL	NP_250513	Type IV pili	Adherence	99.82	93.55	1686
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000001.1	tse1	NP_250535	HSI-1 T6SS secreted effectors	Effector delivery system	100.00	92.99	471
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	aprA	NP_249940	Alkaline protease	Enzyme	100.00	93.40	1440
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fliJ	NP_249796	Flagella	Motility	100.00	94.82	444
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fliI	NP_249795	Flagella	Motility	100.00	94.32	1356
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fliG	NP_249793	Flagella	Motility	100.00	95.48	1017
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fliF	NP_249792	Flagella	Motility	99.72	96.10	1792
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fliE	NP_249791	Flagella	Motility	100.00	97.88	330
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fleR	NP_249790	Flagella	Motility	99.23	90.87	1413
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fleS	NP_249789	Flagella	Motility	99.92	91.32	1209
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	fleQ	NP_249788	Flagella	Motility	100.00	93.89	1473
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgJ	NP_249776	Flagella	Motility	100.00	94.85	1203
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgI	NP_249775	Flagella	Motility	100.00	96.49	1110
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgH	NP_249774	Flagella	Motility	100.00	97.99	696
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgG	NP_249773	Flagella	Motility	100.00	96.95	786
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgF	NP_249772	Flagella	Motility	100.00	95.60	750
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgE	NP_249771	Flagella	Motility	100.00	93.67	1389
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgD	NP_249770	Flagella	Motility	94.12	94.94	672
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgC	NP_249769	Flagella	Motility	100.00	96.60	441
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000002.1	flgB	NP_249768	Flagella	Motility	100.00	97.30	408
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	pilZ	NP_251650	Type IV pili	Adherence	100.00	98.32	357
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpZ	NP_251785	Xcp secretion system	Effector delivery system	100.00	92.00	525
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpY	NP_251786	Xcp secretion system	Effector delivery system	100.00	92.78	1149
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpX	NP_251787	Xcp secretion system	Effector delivery system	100.00	94.11	1002
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpW	NP_251788	Xcp secretion system	Effector delivery system	100.00	94.54	714
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpV	NP_251789	Xcp secretion system	Effector delivery system	100.00	92.05	390
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpU	NP_251790	Xcp secretion system	Effector delivery system	100.00	95.57	519
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpT	NP_251791	Xcp secretion system	Effector delivery system	100.00	97.99	447
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpS	NP_251792	Xcp secretion system	Effector delivery system	100.00	95.07	1218
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpR	NP_251793	Xcp secretion system	Effector delivery system	100.00	95.03	1509
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	xcpP	NP_251794	Xcp secretion system	Effector delivery system	100.00	96.33	708
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000003.1	wbpM	NP_251831	LPS	Immune modulation	98.80	90.68	1974
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	pilF	NP_252494	Type IV pili	Adherence	100.00	91.70	759
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	lasB	NP_252413	LasB	Effector delivery system	100.00	93.05	1497
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	mucP	NP_252339	Alginate	Biofilm	100.00	97.12	1353
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	rpoS	NP_252312	Type IV pili	Adherence	100.00	94.73	1005
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algA	NP_252241	Alginate	Biofilm	100.00	98.48	1446
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algF	NP_252240	Alginate	Biofilm	100.00	97.39	651
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algJ	NP_252239	Alginate	Biofilm	100.00	95.75	1176
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algI	NP_252238	Alginate	Biofilm	100.00	98.02	1563
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algL	NP_252237	Alginate	Biofilm	100.00	97.10	1104
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algX	NP_252236	Alginate	Biofilm	100.00	97.97	1425
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algG	NP_252235	Alginate	Biofilm	98.65	96.97	1610
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algE	NP_252234	Alginate	Biofilm	100.00	98.37	1473
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algK	NP_252233	Alginate	Biofilm	100.00	98.53	1428
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	alg44	NP_252232	Alginate	Biofilm	100.00	97.52	1170
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	alg8	NP_252231	Alginate	Biofilm	100.00	98.05	1485
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000004.1	algD	NP_252230	Alginate	Biofilm	99.92	96.64	1310
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	tse7	NP_248789	HSI-1 T6SS secreted effectors	Effector delivery system	100.00	97.50	1161
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	vgrG1b	NP_248785	HSI-1	Effector delivery system	100.00	96.14	2226
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	vgrG1a	NP_248781	HSI-1	Effector delivery system	100.00	96.95	1932
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	clpV1	NP_248780	HSI-1	Effector delivery system	100.00	97.64	2709
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiH1/tssG	NP_248779	HSI-1	Effector delivery system	100.00	97.23	1047
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiG1/tssF	NP_248778	HSI-1	Effector delivery system	100.00	96.50	1860
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiF1/tssE	NP_248777	HSI-1	Effector delivery system	100.00	96.28	510
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiE1	NP_248776	HSI-1	Effector delivery system	99.76	93.61	844
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hcp1	NP_248775	HSI-1	Effector delivery system	100.00	98.77	489
Pseudomonas core 90/80	GCA_002563335.1|PDLX01000005.1	hsiC1/vipB/tssC	NP_248774	HSI-1	Effector delivery system	100.00	97.73	1497
