Branch	Sequence	Gene	Accession	VirulenceFactor	VFCCategory	ReferenceCoveragePercent	IdentityPercent	AlignedBp
Core 90/80	megahit-co__c001359_15	fomA	WP_005902984	FomA	Adherence	100.00	99.55	1107
Core 90/80	megahit-co__c001537_10	ppaD	WP_005873463	PPAD	Enzyme	100.00	100.00	1671
Core 90/80	megahit-co__c001971_1	eutA	WP_005904031	Eut locus	Nutritional/Metabolic factor	100.00	99.65	1431
Core 90/80	megahit-co__c001971_2	eutW	WP_005904032	Eut locus	Nutritional/Metabolic factor	100.00	99.71	1389
Core 90/80	megahit-co__c001971_5	eutS	WP_005904036	Eut locus	Nutritional/Metabolic factor	100.00	100.00	369
Core 90/80	megahit-co__c002108_10	wbpE/porR	WP_005873685	LPS	Immune modulation	100.00	100.00	1125
Core 90/80	megahit-co__c002108_12	wbpS	WP_005873629	LPS	Immune modulation	100.00	100.00	1629
Core 90/80	megahit-co__c002108_13	wbaQ	WP_012458125	LPS	Immune modulation	100.00	100.00	615
Core 90/80	megahit-co__c002108_5	wzy	WP_012458132	LPS	Immune modulation	100.00	100.00	1044
Core 90/80	megahit-co__c002108_7	gtfE	WP_012458130	LPS	Immune modulation	100.00	100.00	1152
Core 90/80	megahit-co__c002108_8	gtfD	WP_012458129	LPS	Immune modulation	100.00	100.00	861
Core 90/80	megahit-co__c002108_9	PGN_RS05945	WP_012458128	LPS	Immune modulation	99.21	100.00	1128
Core 90/80	megahit-co__c002392_2	Fn-Dps	WP_005902929	Fn-Dps	Stress survival	100.00	99.77	435
Core 90/80	megahit-co__c003173_4	porX	WP_012457962	T9SS	Effector delivery system	99.23	100.00	1545
Core 90/80	megahit-co__c003392_5	porA	WP_043876308	T9SS	Effector delivery system	100.00	100.00	720
Core 90/80	megahit-co__c004997_2	eutM2	WP_005895463	Eut locus	Nutritional/Metabolic factor	100.00	98.25	285
Core 90/80	megahit-co__c004997_3	eutE	WP_005904025	Eut locus	Nutritional/Metabolic factor	100.00	97.37	1443
Core 90/80	megahit-co__c005132_23	serB	WP_004585202	SerB	Enzyme	100.00	100.00	1242
Core 90/80	megahit-co__c005296_1	eutL	WP_011016126	Eut locus	Nutritional/Metabolic factor	100.00	98.62	654
Core 90/80	megahit-co__c005296_3	eutB	WP_023040837	Eut locus	Nutritional/Metabolic factor	95.83	99.69	1311
Core 90/80	megahit-co__c006115_13	mfa5	WP_012457399	Mfa1 fimbriae	Adherence	99.92	100.00	3684
Core 90/80	megahit-co__c006115_15	mfa3	WP_012457397	Mfa1 fimbriae	Adherence	100.00	100.00	1341
Core 90/80	megahit-co__c006115_17	mfa1	WP_012457396	Mfa1 fimbriae	Adherence	100.00	100.00	1692
Core 90/80	megahit-co__c007074_28	ptk1	WP_012458343	Ptk1	Post-translational modification	100.00	100.00	2466
Core 90/80	megahit-co__c007662_2	C4N14_RS02810	WP_005904022	Eut locus	Nutritional/Metabolic factor	100.00	95.43	591
Core 90/80	megahit-co__c007662_3	eutN	WP_005904021	Eut locus	Nutritional/Metabolic factor	100.00	97.99	249
Core 90/80	megahit-co__c007662_5	eutH	WP_005904019	Eut locus	Nutritional/Metabolic factor	100.00	95.11	1083
Core 90/80	megahit-co__c007662_6	eutQ	WP_005904018	Eut locus	Nutritional/Metabolic factor	100.00	100.00	450
Core 90/80	megahit-co__c007662_8	eutG	WP_005903662	Eut locus	Nutritional/Metabolic factor	100.00	99.82	1119
Core 90/80	megahit-co__c007713_37	porW	WP_012458585	T9SS	Effector delivery system	100.00	100.00	3483
Core 90/80	megahit-co__c008102_3	gbp	WP_005903112	Gbp	Adherence	100.00	99.71	1026
Core 90/80	megahit-co__c008447_23	ltp1	WP_012457551	Ltp1	Post-translational modification	100.00	100.00	504
Core 90/80	megahit-co__c008447_9	porZ	WP_039416951	T9SS	Effector delivery system	98.97	100.00	2307
Core 90/80	megahit-co__c009936_17	porP	WP_012458452	T9SS	Effector delivery system	100.00	100.00	942
Core 90/80	megahit-co__c009936_18	porK	WP_012458451	T9SS	Effector delivery system	100.00	100.00	1476
Core 90/80	megahit-co__c009936_20	porM	WP_004584766	T9SS	Effector delivery system	100.00	100.00	1551
Core 90/80	megahit-co__c009936_21	porN	WP_012458449	T9SS	Effector delivery system	100.00	100.00	1080
Core 90/80	megahit-co__c010596_1	sov	WP_012457811	T9SS	Effector delivery system	100.00	99.97	7500
Core 90/80	megahit-co__c010699_14	plug	WP_012457276	T9SS	Effector delivery system	100.00	100.00	1260
