Branch	Display	EvaluationSet	Family	Assembler	Strategy	SourceArticle	SourceRelativePath	EvidenceClass	PreparedRelativePath	SourceCompressedBytes	SourceCompressedSHA256	Contigs	TotalBp	LargestBp	N50Bp	L50	N90Bp	L90	GCPercent	NBases	InvalidIUPACBases	ContigsGe10kb	BasesGe10kb	ContigsGe100kb	BasesGe100kb	CanonicalSHA256
sr-megahit-m1	MEGAHIT · M1 single	MOCK1	Short read	MEGAHIT 1.2.9	single · 2M pairs	30	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK1.ge1000.fna.gz	biological	assemblies/sr-megahit-m1.fasta	16806769	e3554bafffb94c5e48954f6cbb27de977015c82d8bf98f7a9e6373316e2a4a60	14794	55461594	307522	6197	1489	1387	10051	47.511881826	0	0	855	22819080	25	3510615	3c2b28a610fe47a36376fd05f9dceb4d9dc2e1f2ed744756f281e29849bee19a
sr-metaspades-m1	metaSPAdes · M1 single	MOCK1	Short read	metaSPAdes 4.3.0	single · 2M pairs	30	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK1.ge1000.fna.gz	biological	assemblies/sr-metaspades-m1.fasta	17562509	31f0cc488a4b9f22ddf7c48cfa781768da8a59a2b0a89d93163a88b25d636db5	14461	58170565	460045	7353	1246	1425	9531	47.725011782	0	0	826	25495723	35	5844779	f4aa281eaa387c3420a44f9cb30a20bc63edf2474ba5ffa469da7159eb9a38d0
sr-megahit-m2	MEGAHIT · M2 single	MOCK2	Short read	MEGAHIT 1.2.9	single · 2M pairs	30	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK2.ge1000.fna.gz	biological	assemblies/sr-megahit-m2.fasta	16504403	a6c6c2eafb40bb557c3eaf21d124b983dd964843e6caa5ef656b3a61c01a3cbf	14811	54477949	307522	5906	1494	1374	10130	47.448311610	0	0	780	21881250	24	3345193	77269e821fe59388c55a6b4d116f9e636559a614e0464e7c45543cc0f1ef94e2
sr-metaspades-m2	metaSPAdes · M2 single	MOCK2	Short read	metaSPAdes 4.3.0	single · 2M pairs	30	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK2.ge1000.fna.gz	biological	assemblies/sr-metaspades-m2.fasta	17221681	5df645a88ee9e996f7495cccf8eb4342e59503a38a115e34f898edbdae2f461e	14697	57015313	343250	6781	1263	1387	9812	47.681115072	0	0	785	24621183	35	5814545	7596eb6ea2312fe69f9c491c2e44b967446a8c5327090ce87069e7f8bfedbda2
sr-megahit-co	MEGAHIT · co-assembly	MOCK1+MOCK2	Short read	MEGAHIT 1.2.9	co · 4M pairs	30	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	biological	assemblies/sr-megahit-co.fasta	25559722	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	18354	84811518	1064594	15928	830	1411	11165	48.866230646	0	0	1278	48075803	69	14917891	5ab306b7b792ff1b7f3e87ec3e5bd1b35cb9d2f6aa3f49693f56a8ff7a1ef00a
sr-metaspades-co	metaSPAdes · co-assembly	MOCK1+MOCK2	Short read	metaSPAdes 4.3.0	co · 4M pairs	30	data/small/30-short-read-assembly-frozen/contigs/metaspades-coassembly.ge1000.fna.gz	biological	assemblies/sr-metaspades-co.fasta	26516931	d3d6300e11bfdff2dfc10d4abdf58240e89e856e0f634c81b527cdd5ff7a559e	19158	88166433	880531	17124	743	1412	11693	49.024350344	0	0	1201	50041881	84	18825168	7e2f15de7f83f4b3184d56e9eeb476ceccfcab9c50d21b1652663ff88f74fc0a
lr-flye-ont	Flye · ONT R9	MOCK1	Long read	Flye 2.9.6	ONT · full run	31	data/small/31-long-read-assembly-frozen/assemblies/flye-ont-r9.ge1000.fna.gz	biological	assemblies/lr-flye-ont.fasta	42305013	a8729310ea74377fa2f343ddf089c2d0ec3b6c73b5548c7e71d3f517458c9a65	2423	143770812	7136817	441240	47	20262	1080	50.696561413	0	0	1793	139758483	153	91389773	6e5a17de611579d04cae7dc28de1179f3d278b73f558f491b6c945f07c9968d6
lr-flye-hifi	Flye · HiFi	MOCK1	Long read	Flye 2.9.6	HiFi · full run	31	data/small/31-long-read-assembly-frozen/assemblies/flye-hifi.ge1000.fna.gz	biological	assemblies/lr-flye-hifi.fasta	49598380	f2a3c5482381759887413aeb6a2841b4805d0f3b13f3ed5c3cf6d32075ed6f17	806	169457769	7147007	2013697	22	75706	218	51.941629185	0	0	717	168892662	166	148005793	1773ad8b9618c3a7fd06840381e0ef5740ee5d0f351af65f286d0e07a09e483f
lr-hifiasm-hifi	hifiasm-meta · HiFi	MOCK1	Long read	hifiasm-meta 0.3.2-r686	HiFi · full run	31	data/small/31-long-read-assembly-frozen/assemblies/hifiasm-meta-hifi.ge1000.fna.gz	biological	assemblies/lr-hifiasm-hifi.fasta	49845583	1dec32dc675062a03cba669919aca3330ded9c7d7d35a231335b511883c645f5	885	170075586	7146998	2154824	22	52272	304	51.982943043	0	0	867	169929434	162	143158751	205e4c8938af00f277e60a11a24a86a4fcf440d55edaa8a1284912728f2b3094
lr-metamdbg-hifi	metaMDBG · HiFi	MOCK1	Long read	metaMDBG 1.0	HiFi · full run	31	data/small/31-long-read-assembly-frozen/assemblies/metamdbg-hifi.ge1000.fna.gz	biological	assemblies/lr-metamdbg-hifi.fasta	52608453	d50bd6d9051d888fe5cf77128db1be4a047237b9752079a2df4225534a1fc747	1249	179428525	7143710	2007072	25	44994	325	52.089887603	0	0	1061	177839659	162	150815976	415a3655f851c286d4ecd817519a50c3bf30f196df5cbba731d227872048e97d
