Branch	EvaluationSet	AbundanceBin	TruthGenomes	MedianGenomeFractionPct	RecoveredGenomesGe90Pct	FullGenomesGe99Pct
sr-megahit-m1	MOCK1	<0.1%	13	0.000000	0	0
sr-megahit-m1	MOCK1	0.1-<1%	28	0.406000	2	0
sr-megahit-m1	MOCK1	>=1%	30	66.106000	10	4
sr-metaspades-m1	MOCK1	<0.1%	13	0.000000	0	0
sr-metaspades-m1	MOCK1	0.1-<1%	28	0.509500	2	0
sr-metaspades-m1	MOCK1	>=1%	30	70.036500	11	5
sr-megahit-m2	MOCK2	<0.1%	27	0.000000	0	0
sr-megahit-m2	MOCK2	0.1-<1%	30	0.209500	2	0
sr-megahit-m2	MOCK2	>=1%	30	65.407500	10	4
sr-metaspades-m2	MOCK2	<0.1%	27	0.000000	0	0
sr-metaspades-m2	MOCK2	0.1-<1%	30	0.301500	2	0
sr-metaspades-m2	MOCK2	>=1%	30	70.247000	12	5
sr-megahit-co	MOCK1+MOCK2	<0.1%	29	0.000000	0	0
sr-megahit-co	MOCK1+MOCK2	0.1-<1%	28	3.910000	2	0
sr-megahit-co	MOCK1+MOCK2	>=1%	30	94.269500	18	6
sr-metaspades-co	MOCK1+MOCK2	<0.1%	29	0.000000	0	0
sr-metaspades-co	MOCK1+MOCK2	0.1-<1%	28	5.177000	3	0
sr-metaspades-co	MOCK1+MOCK2	>=1%	30	94.331500	18	5
lr-flye-ont	MOCK1	<0.1%	13	0.000000	0	0
lr-flye-ont	MOCK1	0.1-<1%	28	20.624000	6	5
lr-flye-ont	MOCK1	>=1%	30	99.683500	26	19
lr-flye-hifi	MOCK1	<0.1%	13	0.000000	0	0
lr-flye-hifi	MOCK1	0.1-<1%	28	96.100000	16	10
lr-flye-hifi	MOCK1	>=1%	30	99.985500	27	26
lr-hifiasm-hifi	MOCK1	<0.1%	13	0.000000	0	0
lr-hifiasm-hifi	MOCK1	0.1-<1%	28	91.953500	15	8
lr-hifiasm-hifi	MOCK1	>=1%	30	99.872000	24	20
lr-metamdbg-hifi	MOCK1	<0.1%	13	0.000000	0	0
lr-metamdbg-hifi	MOCK1	0.1-<1%	28	94.792000	18	9
lr-metamdbg-hifi	MOCK1	>=1%	30	99.649000	27	24
sr-spades-10m	MOCK1	<0.1%	13	0.000000	0	0
sr-spades-10m	MOCK1	0.1-<1%	28	70.045500	9	1
sr-spades-10m	MOCK1	>=1%	30	98.757500	28	11
hybrid-illumina-ont	MOCK1	<0.1%	13	0.000000	0	0
hybrid-illumina-ont	MOCK1	0.1-<1%	28	86.395500	12	3
hybrid-illumina-ont	MOCK1	>=1%	30	99.399000	28	19
hybrid-illumina-hifi	MOCK1	<0.1%	13	0.000000	0	0
hybrid-illumina-hifi	MOCK1	0.1-<1%	28	88.880500	13	5
hybrid-illumina-hifi	MOCK1	>=1%	30	99.303000	29	23
lr-ont-polypolish	MOCK1	<0.1%	13	0.000000	0	0
lr-ont-polypolish	MOCK1	0.1-<1%	28	24.870500	7	5
lr-ont-polypolish	MOCK1	>=1%	30	99.683500	27	19
lr-ont-careful	MOCK1	<0.1%	13	0.000000	0	0
lr-ont-careful	MOCK1	0.1-<1%	28	24.482500	7	5
lr-ont-careful	MOCK1	>=1%	30	99.683500	27	19
diagnostic-fragmented-50kb	MOCK1	<0.1%	13	0.000000	0	0
diagnostic-fragmented-50kb	MOCK1	0.1-<1%	28	96.094000	16	10
diagnostic-fragmented-50kb	MOCK1	>=1%	30	99.985500	27	26
diagnostic-chimeric-rotation	MOCK1	<0.1%	13	0.000000	0	0
diagnostic-chimeric-rotation	MOCK1	0.1-<1%	28	96.100000	16	10
diagnostic-chimeric-rotation	MOCK1	>=1%	30	99.985500	27	26
