Branch	EvidenceClass	BasesGe1kb	BasesGe10kb	BasesGe100kb	RetainedAt10kbPct	RetainedAt100kbPct	ContigsGe1kb	ContigsGe10kb	ContigsGe100kb
sr-megahit-m1	biological	55461594	22819080	3510615	41.143931	6.329813	14794	855	25
sr-metaspades-m1	biological	58170565	25495723	5844779	43.829251	10.047657	14461	826	35
sr-megahit-m2	biological	54477949	21881250	3345193	40.165334	6.140453	14811	780	24
sr-metaspades-m2	biological	57015313	24621183	5814545	43.183457	10.198216	14697	785	35
sr-megahit-co	biological	84811518	48075803	14917891	56.685465	17.589463	18354	1278	69
sr-metaspades-co	biological	88166433	50041881	18825168	56.758428	21.351854	19158	1201	84
lr-flye-ont	biological	143770812	139758483	91389773	97.209219	63.566291	2423	1793	153
lr-flye-hifi	biological	169457769	168892662	148005793	99.666520	87.340813	806	717	166
lr-hifiasm-hifi	biological	170075586	169929434	143158751	99.914066	84.173604	885	867	162
lr-metamdbg-hifi	biological	179428525	177839659	150815976	99.114485	84.053512	1249	1061	162
sr-spades-10m	biological	141314393	92428972	42312322	65.406623	29.941976	20647	2189	178
hybrid-illumina-ont	biological	159368905	130321833	72559789	81.773689	45.529452	11064	2439	175
hybrid-illumina-hifi	biological	168451875	143970251	73781280	85.466695	43.799619	9751	2760	172
lr-ont-polypolish	biological	143898052	139876484	91540910	97.205266	63.615114	2423	1792	153
lr-ont-careful	biological	143893598	139871902	91535917	97.205090	63.613613	2423	1792	153
diagnostic-fragmented-50kb	diagnostic	169457769	168527413	0	99.450981	0.000000	3827	3673	0
diagnostic-chimeric-rotation	diagnostic	169457769	168892662	148005793	99.666520	87.340813	806	717	166
