Branch	Display	EvaluationSet	EvidenceClass	Family	Assembler	Strategy	TruthGenomes	ContigsGe1kb	TotalLengthBp	LargestBp	N50Bp	L50	N90Bp	L90	GCPercent	NBases	Misassemblies	MisassembledContigs	LocalMisassemblies	FullyUnalignedContigs	UnalignedLengthBp	GenomeFractionPct	DuplicationRatio	NsPer100Kbp	MismatchesPer100Kbp	IndelsPer100Kbp	LargestAlignmentBp	TotalAlignedLengthBp	NA50Bp	LA50	NGA50Bp	LGA50	RecoveredGenomesGe90Pct	RecoveredFractionGe90Pct	FullGenomesGe99Pct	FullGenomeFractionGe99Pct	CanonicalSHA256
sr-megahit-m1	MEGAHIT · M1 single	MOCK1	biological	Short read	MEGAHIT 1.2.9	single · 2M pairs	71	14794	55461594	307522	6197	1489	1387	10051	47.511881826	0	88	85	25	62	110396	24.072	1.004	0	177.22	4.31	307522	55244976	6110	1520			12	0.169014085	4	0.056338028	3c2b28a610fe47a36376fd05f9dceb4d9dc2e1f2ed744756f281e29849bee19a
sr-metaspades-m1	metaSPAdes · M1 single	MOCK1	biological	Short read	metaSPAdes 4.3.0	single · 2M pairs	71	14461	58170565	460045	7353	1246	1425	9531	47.725011782	0	79	73	26	43	91425	25.35	1.002	0	173.77	6.94	460045	57905118	7255	1270			13	0.183098592	5	0.070422535	f4aa281eaa387c3420a44f9cb30a20bc63edf2474ba5ffa469da7159eb9a38d0
sr-megahit-m2	MEGAHIT · M2 single	MOCK2	biological	Short read	MEGAHIT 1.2.9	single · 2M pairs	87	14811	54477949	307522	5906	1494	1374	10130	47.44831161	0	100	97	23	65	120318	19.275	1.004	0	182.43	4.24	307522	54258992	5845	1524			12	0.137931034	4	0.045977011	77269e821fe59388c55a6b4d116f9e636559a614e0464e7c45543cc0f1ef94e2
sr-metaspades-m2	metaSPAdes · M2 single	MOCK2	biological	Short read	metaSPAdes 4.3.0	single · 2M pairs	87	14697	57015313	343250	6781	1263	1387	9812	47.681115072	0	87	86	24	39	77581	20.286	1.002	0	180.73	6.36	343250	56773642	6671	1289			14	0.160919540	5	0.057471264	7596eb6ea2312fe69f9c491c2e44b967446a8c5327090ce87069e7f8bfedbda2
sr-megahit-co	MEGAHIT · co-assembly	MOCK1+MOCK2	biological	Short read	MEGAHIT 1.2.9	co · 4M pairs	87	18354	84811518	1064594	15928	830	1411	11165	48.866230646	0	155	151	43	57	155613	29.523	1.005	0	134.4	3.88	1064594	84519191	15562	862			20	0.229885057	6	0.068965517	5ab306b7b792ff1b7f3e87ec3e5bd1b35cb9d2f6aa3f49693f56a8ff7a1ef00a
sr-metaspades-co	metaSPAdes · co-assembly	MOCK1+MOCK2	biological	Short read	metaSPAdes 4.3.0	co · 4M pairs	87	19158	88166433	880531	17124	743	1412	11693	49.024350344	0	129	124	44	49	156384	30.953	1.002	0	133.04	5.36	880531	87771240	16938	766			21	0.241379310	5	0.057471264	7e2f15de7f83f4b3184d56e9eeb476ceccfcab9c50d21b1652663ff88f74fc0a
lr-flye-ont	Flye · ONT R9	MOCK1	biological	Long read	Flye 2.9.6	ONT · full run	71	2423	143770812	7136817	441240	47	20262	1080	50.696561413	0	343	149	95	876	21062809	51.572	1.018	0	370.94	839.52	4357351	122160981	194794	108			32	0.450704225	24	0.338028169	6e5a17de611579d04cae7dc28de1179f3d278b73f558f491b6c945f07c9968d6
lr-flye-hifi	Flye · HiFi	MOCK1	biological	Long read	Flye 2.9.6	HiFi · full run	71	806	169457769	7147007	2013697	22	75706	218	51.941629185	0	284	102	91	57	1157694	70.125	1.009	0	8.11	10.42	6602741	168209120	903979	42			43	0.605633803	36	0.507042254	1773ad8b9618c3a7fd06840381e0ef5740ee5d0f351af65f286d0e07a09e483f
lr-hifiasm-hifi	hifiasm-meta · HiFi	MOCK1	biological	Long read	hifiasm-meta 0.3.2-r686	HiFi · full run	71	885	170075586	7146998	2154824	22	52272	304	51.982943043	0	264	104	89	121	4884878	68.678	1.008	0	9.93	22.47	4351146	165095661	847090	46			39	0.549295775	28	0.394366197	205e4c8938af00f277e60a11a24a86a4fcf440d55edaa8a1284912728f2b3094
lr-metamdbg-hifi	metaMDBG · HiFi	MOCK1	biological	Long read	metaMDBG 1.0	HiFi · full run	71	1249	179428525	7143710	2007072	25	44994	325	52.089887603	0	303	122	79	292	5574730	72.573	1.004	0	7.98	7.4	5136130	173790830	749991	53			45	0.633802817	33	0.464788732	415a3655f851c286d4ecd817519a50c3bf30f196df5cbba731d227872048e97d
