TargetContig	TargetStart0	BlockBp	DonorContig	OriginalBlockSHA256	ReplacementBlockSHA256	TargetRecordIndex	DonorRecordIndex
contig_75	3523503	100000	contig_136	78deba834a3b10695eda2981d60a82b355f0246112ed1eac8410b230b4eb3704	d8d6c3cabff1c1101fb3f35d9288bf56422455e68214b80c83f12376e3ddeaa4	681	39
contig_1	3311202	100000	contig_75	26f9fcf6dee108bba89e2b09223779bc6d45b4762f3d87c076f4eebeeb1963bf	78deba834a3b10695eda2981d60a82b355f0246112ed1eac8410b230b4eb3704	0	681
contig_557	3123289	100000	contig_1	01906c6e0e9b7285dfe4c9fedb09852cd3fcdcf4497887ef638fe0e54b37b3b8	26f9fcf6dee108bba89e2b09223779bc6d45b4762f3d87c076f4eebeeb1963bf	470	0
contig_381	3042637	100000	contig_557	83f46ca2cc9b3d061e4418f6fa476c668b5c95179c320981315e1552b8dc8a51	01906c6e0e9b7285dfe4c9fedb09852cd3fcdcf4497887ef638fe0e54b37b3b8	284	470
contig_325	2555038	100000	contig_381	2a5c0e5e455cf2591d894f4b12d99c63d907c9c06dd46855cf75dee9275a91c6	83f46ca2cc9b3d061e4418f6fa476c668b5c95179c320981315e1552b8dc8a51	226	284
contig_323	2517060	100000	contig_325	721e10341f3e2ef9accd898b5d408e47f292d65465e8594617a67145e36d8861	2a5c0e5e455cf2591d894f4b12d99c63d907c9c06dd46855cf75dee9275a91c6	225	226
contig_103	2468770	100000	contig_323	d48d28ffc3d828ba20676cce7b4d96af08525b4c785fe31428e8839ff2e66676	721e10341f3e2ef9accd898b5d408e47f292d65465e8594617a67145e36d8861	5	225
contig_59	2385018	100000	contig_103	03737ae1972c3a6d27d6a35e39dce1125b1b17ff9bf7bbd212dd6f4955d906d2	d48d28ffc3d828ba20676cce7b4d96af08525b4c785fe31428e8839ff2e66676	506	5
contig_846	2268592	100000	contig_59	61409d202d4055334aca81c58d479c6fd3d2fdcb4b19976bdc982d0e2af19c84	03737ae1972c3a6d27d6a35e39dce1125b1b17ff9bf7bbd212dd6f4955d906d2	787	506
contig_36	1698859	100000	contig_846	bdeec8ebae0d60ab739bad69281d1d9ceb5b51391152b3a10d8613acc0a1608e	61409d202d4055334aca81c58d479c6fd3d2fdcb4b19976bdc982d0e2af19c84	260	787
contig_60	1630800	100000	contig_36	9fbe8e6ea76755d1fb1ac26c1cbae1af45a04d2fac71c9d9f4c49661a683171d	bdeec8ebae0d60ab739bad69281d1d9ceb5b51391152b3a10d8613acc0a1608e	516	260
contig_370	1525605	100000	contig_60	92129402d8df72e809faa47e231dd1d4e97a39d1b650270d7a4f026b357595bc	9fbe8e6ea76755d1fb1ac26c1cbae1af45a04d2fac71c9d9f4c49661a683171d	272	516
contig_252	1439411	100000	contig_370	22bcb657a77484aeec68f2eec6771a085ea098f2faea3f3ea02f5e6abf20cee3	92129402d8df72e809faa47e231dd1d4e97a39d1b650270d7a4f026b357595bc	154	272
contig_320	1338458	100000	contig_252	d3091537efd367585296792cd94c7c77fd8c16aa2c66c28613c8d442739874aa	22bcb657a77484aeec68f2eec6771a085ea098f2faea3f3ea02f5e6abf20cee3	223	154
contig_171	1337228	100000	contig_320	6522b72bd68c12ad41a02c011df74113f15f747669e61263ea15cb166a85c184	d3091537efd367585296792cd94c7c77fd8c16aa2c66c28613c8d442739874aa	74	223
contig_179	1282101	100000	contig_171	7c3ccd428c5764798f91a20d1b7a9f71348b73616065c4218635237daede388e	6522b72bd68c12ad41a02c011df74113f15f747669e61263ea15cb166a85c184	82	74
contig_385	1262945	100000	contig_179	67c8708f352ec111d15af4be82c0c9260e93ec9d0f7d444f1fd56b0687dd96a8	7c3ccd428c5764798f91a20d1b7a9f71348b73616065c4218635237daede388e	288	82
contig_294	1131415	100000	contig_385	815ed949fd018548b66e02bfabf4318a518920d94001f7766a9dcb616a72c9a5	67c8708f352ec111d15af4be82c0c9260e93ec9d0f7d444f1fd56b0687dd96a8	195	288
contig_395	1071214	100000	contig_294	bf6840e1a2cee6106603e356884c47ee6640a8ceace72c4d31a26406b40090eb	815ed949fd018548b66e02bfabf4318a518920d94001f7766a9dcb616a72c9a5	297	195
contig_136	1040061	100000	contig_395	d8d6c3cabff1c1101fb3f35d9288bf56422455e68214b80c83f12376e3ddeaa4	bf6840e1a2cee6106603e356884c47ee6640a8ceace72c4d31a26406b40090eb	39	297
