PredictedSubstrate	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
alpha-glucan	114.0	110.0	10115.0	9215.5	10225.0	9352.0
host glycan	103.0	100.0	4560.0	4345.0	4614.0	4414.0
chitin	103.0	97.58333333	7914.0	6446.33333333	8088.0	6638.5
peptidoglycan	88.0	88.0	3021.0	3021.0	3034.0	3034.0
beta-glucan	63.0	39.83333333	10526.0	5302.0	10425.0	5258.5
beta-mannan	41.0	39.83333333	3930.0	3858.33333333	3855.0	3784.5
xylan	45.0	32.75	8571.0	5173.33333333	8626.0	5236.66666667
cellulose	43.0	29.91666667	5789.0	3354.0	5681.0	3313.0
lignin	30.0	29.5	1483.0	1446.5	1437.0	1407.0
pectin	30.0	29.0	3098.0	2980.0	3067.0	2958.0
bacterial outer membrane (OM) polysaccharides	23.0	23.0	2248.0	2248.0	2184.0	2184.0
xyloglucan	22.0	16.0	3191.0	2112.66666667	3258.0	2192.83333333
arabinan	15.0	13.0	1640.0	1160.0	1655.0	1144.5
glycolipid	13.0	13.0	997.0	997.0	1014.0	1014.0
exo-polysaccharide	11.0	11.0	357.0	357.0	316.0	316.0
arabinogalactan	11.0	10.0	2197.0	1941.5	2117.0	1872.5
beta-galactan	14.0	8.08333333	2150.0	1401.83333333	2084.0	1339.0
fructan	7.0	7.0	519.0	519.0	512.0	512.0
rhamnose	6.0	6.0	665.0	665.0	670.0	670.0
alpha-galactan	4.0	4.0	384.0	384.0	407.0	407.0
polyphenol	7.0	3.25	628.0	184.0	635.0	189.5
agarose	3.0	3.0	83.0	83.0	80.0	80.0
fucoidan	3.0	3.0	126.0	126.0	130.0	130.0
alpha-rhamnoside	2.0	2.0	150.0	150.0	161.0	161.0
beta-glucuronan	2.0	2.0	493.0	493.0	516.0	516.0
galactosaminogalactan	2.0	2.0	165.0	165.0	139.0	139.0
sucrose	2.0	1.5	214.0	129.5	220.0	126.0
trehalose	2.0	1.5	54.0	40.5	49.0	38.0
beta-fucosides	5.0	1.25	592.0	148.0	594.0	148.5
carrageenan	1.0	1.0	10.0	10.0	24.0	24.0
chitosan	1.0	1.0	39.0	39.0	32.0	32.0
ulvan	1.0	1.0	10.0	10.0	18.0	18.0
