CAZyFamily	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
GT4	314.0	311.5	14206.0	13845.5	14215.0	13817.5
GT2	311.0	304.66666667	12100.0	11251.16666667	12108.0	11215.5
GH23	52.0	47.5	2265.0	2054.5	2254.0	2051.0
GT119	46.0	46.0	1895.0	1895.0	1912.0	1912.0
GT51	46.0	46.0	3177.0	3177.0	2977.0	2977.0
CBM50	45.0	40.0	2728.0	2507.5	2788.0	2576.0
GT9	38.0	38.0	862.0	862.0	823.0	823.0
GH3	35.0	35.0	3039.0	3039.0	3272.0	3272.0
GH179	34.0	34.0	1747.0	1747.0	1760.0	1760.0
CE4	35.0	32.66666667	1718.0	1436.66666667	1716.0	1397.0
GT35	28.0	28.0	2609.0	2609.0	2417.0	2417.0
GT83	27.0	26.0	1061.0	973.0	1109.0	1017.0
GT1	24.0	23.0	951.0	807.0	899.0	765.0
GT5	22.0	22.0	1514.0	1514.0	1394.0	1394.0
GT28	20.0	20.0	1030.0	1030.0	1134.0	1134.0
CBM48	34.0	19.91666667	3380.0	1809.16666667	3347.0	1795.33333333
CE14	18.0	18.0	546.0	546.0	531.0	531.0
GT121	18.0	18.0	1800.0	1800.0	1791.0	1791.0
GH177	17.0	17.0	484.0	484.0	503.0	503.0
GH20	17.0	17.0	597.0	597.0	625.0	625.0
GH171	15.0	15.0	543.0	543.0	528.0	528.0
GT19	15.0	15.0	329.0	329.0	383.0	383.0
GT66	15.0	15.0	1751.0	1751.0	1708.0	1708.0
GH109	14.0	14.0	639.0	639.0	653.0	653.0
GH65	14.0	14.0	1287.0	1287.0	1248.0	1248.0
GT30	14.0	14.0	519.0	519.0	521.0	521.0
GH33	14.0	13.5	377.0	340.5	391.0	361.0
GT26	13.0	13.0	523.0	523.0	579.0	579.0
GH10	18.0	12.66666667	3182.0	1822.66666667	3123.0	1783.66666667
GH39	13.0	12.5	1045.0	865.5	1088.0	894.5
GH13_48	12.0	12.0	969.0	969.0	964.0	964.0
GH188	12.0	12.0	703.0	703.0	718.0	718.0
CE11	11.0	11.0	357.0	357.0	316.0	316.0
CE9	11.0	11.0	588.0	588.0	587.0	587.0
GH1	11.0	11.0	949.0	949.0	928.0	928.0
GH103	10.0	10.0	198.0	198.0	230.0	230.0
