Category	CheckID	Status	Detail
Merged profile	merged-feature-rows	PASS	923
Merged profile	merged-sample-columns	PASS	261
Merged profile	merged-sample-order	PASS	MV_FEI1_t1Q14/MV_FEI2_t1Q14/MV_FEI3_t1Q14/MV_FEI4_t2Q15/MV_FEI5_t3Q15/MV_FEM1_t1Q14
Merged profile	merged-feature-unique	PASS	0
Merged profile	merged-finite	PASS	0
Merged profile	merged-nonnegative	PASS	0
Merged profile	merged-percent-bound	PASS	97.75588
Merged profile	object-contract-rows	PASS	4
Merged profile	object-feature-counts	PASS	298/740/652/923
Merged profile	object-sample-counts	PASS	10/95/156/261
Merged profile	object-assay	PASS	relative_abundance
Merged profile	object-unit-percent	PASS	percent
Merged profile	column-sums-near-percent	PASS	98.33885/100.00008
Counts boundary	counts-rows	PASS	24
Counts boundary	counts-not-raw	PASS	FALSE
Counts boundary	rounding-difference-present	PASS	-175958/9
Counts boundary	relative-sums-audited	PASS	94.65166/100.00003
Counts boundary	positive-features-conserved	PASS	positive features
Lineage	lineage-card-fields	PASS	Study/Accession/RawReadsAvailable/ProfileSource/Profiler/ProfilerVersion/DatabaseRelease/FeatureType/Unit/Normalization/OriginalPublication/ReprocessedOrAuthorProvided/ProfileFileSHA256
Lineage	lineage-card-rows	PASS	5
Lineage	lineage-hashes	PASS	64/64/64/64/64
Lineage	cmd-taxonomy-metaphlan3	PASS	MetaPhlAn3
Lineage	cmd-taxonomy-database	PASS	CHOCOPhlAn 201901
Lineage	humann-exact-release-not-invented	PASS	UniRef90 and MetaCyc; exact releases not encoded in resource title
Lineage	metaphlan4-separated	PASS	4.2.5
Lineage	compatibility-rows	PASS	7
Lineage	conditional-merge-count	PASS	2
Lineage	duplicate-release-blocked	PASS	Choose one release
Lineage	tax-function-separated	PASS	Separate assays
Lineage	cmd3-cmd4-separated	PASS	Reprocess or harmonize
Lineage	resource-manifest-rows	PASS	7
Lineage	figure-license	PASS	CC BY 4.0
