Figure	Format	Exists	Bytes	SHA256
26-resource-release-audit	pdf	TRUE	25981	fc09488bd3f329a24ce066b2c4d1fec6d05917e272940728addd8a8a66701439
26-resource-release-audit	png	TRUE	188613	32515144c899ef17a67ba57c7bdac351992a2aae0bcdfc73b3c0d880ec7ed446
26-resource-release-audit	tiff	TRUE	252520	6fa97d47fb9dc94da0ba071f82d6dd3088746e3f51fc01c1cbd01a580c6e4c8f
26-metadata-completeness	pdf	TRUE	27261	6a1a6fe81edf73d9f3c22a8b590b8b7291b6e29f7e0233aadf60f0fb5fcf6f23
26-metadata-completeness	png	TRUE	240026	380dc81c148e9086150ee1782a906ccbae3c31bbd33683db5df3dc12c190df7d
26-metadata-completeness	tiff	TRUE	421500	2f089f54d3db526974b01ad0ef6683753f808d5989b5ad545d665c7c613777ff
26-query-attrition	pdf	TRUE	27215	4cff65ac0ebbc8cb99f10a559d245e77f10023aa10cc30f2680e0ff43cb39064
26-query-attrition	png	TRUE	208140	b5198e29673286d84c67da45a2e59225a2c8b9f07919c6d1e259ad838faf491b
26-query-attrition	tiff	TRUE	268522	e861db9fef7e03e18a84b8e412ceaa5078769a5d4335f107bb81e2914e930474
26-lineage-compatibility	pdf	TRUE	31408	6662bd4e72e70c270a292b5c11779df4fe170ccfc3793729163978e455e43f84
26-lineage-compatibility	png	TRUE	206948	5e099c06ccbdf88e85e841253002a5c20bdedc1ce2d53bd1f2f951a0036bad31
26-lineage-compatibility	tiff	TRUE	351052	ea1981eb02288d496282d22e55ec6d955bbefc042ae3d8816501eee4e0d172ee
